PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
4.0,4.0,22.3,84.0,98.7,28.96,6.79161
14.0,15.0,22.3,92.0,100.0,28.27,15.22874
14.0,15.0,24.3,91.0,98.5,29.56,15.70677
14.0,15.0,27.3,83.0,92.3,31.32,15.53213
9.0,10.0,29.3,78.0,87.5,32.43,11.02746
10.0,11.0,32.7,70.0,80.6,33.82,10.71644
10.0,11.0,34.1,65.0,83.9,34.19,11.7247
8.0,9.0,31.4,68.0,86.2,33.34,11.35915
8.0,9.0,30.9,65.0,81.3,33.44,10.03483
8.0,9.0,31.0,64.0,82.9,32.79,9.863511
8.0,9.0,30.6,72.0,92.2,31.57,9.621334
7.0,8.0,26.4,84.0,100.0,30.01,9.449592
17.0,19.0,25.3,89.0,99.7,30.08,16.66175
20.0,23.0,27.9,84.0,96.1,31.62,14.46467
18.0,20.0,31.2,79.0,90.4,33.05,14.46404
9.0,10.0,30.3,74.0,91.7,32.56,14.29977
10.0,12.0,32.1,69.0,85.4,33.1,11.59948
7.0,7.0,31.1,70.0,85.4,32.79,9.746659
6.0,6.0,30.5,68.0,86.4,32.63,9.730247
6.0,6.0,30.7,68.0,91.4,32.23,9.355598
6.0,6.0,29.4,71.0,92.4,30.77,8.985055
8.0,9.0,25.7,87.0,100.0,29.53,9.158719
13.0,14.0,24.8,93.0,99.8,29.71,13.3489
13.0,14.0,27.8,84.0,93.5,31.58,13.53524
30.0,34.0,31.9,76.0,85.7,33.01,16.67861
14.0,16.0,33.5,69.0,80.2,33.92,16.85079
13.0,14.0,33.9,63.0,80.2,33.82,16.98551
11.0,12.0,32.3,60.0,72.66,33.99,15.41949
10.0,11.0,31.7,59.0,75.83,33.6,14.29973
9.0,10.0,31.3,60.0,83.2,32.86,12.79721
12.0,13.0,31.1,67.0,91.6,31.93,13.64009
11.0,12.0,28.0,79.0,99.9,30.19,13.97964
19.0,21.0,25.7,91.0,99.0,30.0,18.58583
18.0,20.0,28.3,84.0,95.2,31.3,18.74723
18.0,20.0,33.1,76.0,87.6,33.34,19.24326
22.0,24.0,34.0,66.0,82.7,34.19,22.59311
17.0,19.0,34.0,62.0,81.7,33.95,22.32382
10.0,11.0,32.6,61.0,83.7,33.58,14.72633
9.0,10.0,32.4,68.0,87.4,32.87,12.15362
12.0,13.0,28.8,71.0,88.2,31.91,13.33567
11.0,12.0,26.8,81.0,97.8,31.15,13.43574
11.0,12.0,24.3,84.0,100.0,29.74,12.73549
16.0,18.0,26.1,92.0,100.0,30.04,22.45887
19.0,21.0,28.6,83.0,93.7,31.25,19.54571
21.0,23.0,31.4,78.0,89.6,32.52,22.72239
24.0,27.0,33.2,67.0,83.0,33.81,25.04349
18.0,20.0,33.4,63.0,80.6,34.18,21.5479
15.0,17.0,32.8,61.0,78.74,33.76,18.35374
15.0,17.0,33.0,61.0,82.3,33.61,16.40712
